subject,run,block,condition,trial_in_block,dominant_color,alternative_color,response,correct,confidence,rt_choice,rt_confidence
1,5,1,3,22,3,4,3,1,3,0.8348,1.1712
1,5,1,3,23,4,3,3,0,2,1.4125,1.7355
1,5,1,3,24,4,3,4,1,1,1.295,1.6187
1,5,1,3,25,4,3,3,0,1,1.3584,1.6685
1,5,1,3,26,4,3,4,1,1,1.5633,2.2348
1,5,1,3,27,4,3,3,0,2,1.1851,1.5533
1,5,1,3,28,3,4,3,1,4,1.267,1.5851
1,5,1,3,29,3,4,3,1,4,0.8518,1.2512
1,5,1,3,30,4,3,3,0,3,0.9456,1.3299
1,5,1,3,31,4,3,3,0,1,1.5018,1.8187
1,5,1,3,32,3,4,3,1,4,0.8842,1.2013
1,5,1,3,33,4,3,3,0,3,1.0285,1.3516
1,5,1,3,34,3,4,3,1,4,0.8625,1.6307
1,5,1,3,35,3,4,3,1,4,0.8143,1.3419
1,5,2,1,1,2,,2,1,3,1.5194,1.9199
1,5,2,1,2,4,,2,0,1,1.1063,1.523
1,5,2,1,3,1,,1,1,3,1.3495,2.0538
1,5,2,1,4,4,,1,0,1,1.6673,1.9857
1,5,2,1,5,3,,3,1,2,1.1551,1.4683
1,5,2,1,6,1,,1,1,1,1.0647,1.3847
1,5,2,1,7,4,,2,0,2,1.0095,1.6812
1,5,2,1,8,3,,3,1,3,0.7992,1.4869
1,5,2,1,9,4,,3,0,3,1.5071,2.2916
