subject,session,run,block,trial_in_block,dominant_symbol,response1,correct1,response2,correct2,rt1,rt2
1,1,2,4,14,1,2,0,,,0.4614,0.0
1,1,2,4,15,5,5,1,,,0.4837,0.0
1,1,2,4,16,3,4,0,1,0,0.4465,0.9754
1,1,2,4,17,3,1,0,,,0.4013,0.0
1,1,2,4,18,1,3,0,2,0,0.9066,0.7926
1,1,2,4,19,6,6,1,,,0.2417,0.0
1,1,2,4,20,5,1,0,,,0.9341,0.0
1,1,2,4,21,1,5,0,6,0,0.4577,0.2821
1,1,2,4,22,3,3,1,,,1.1281,0.0
1,1,2,4,23,5,5,1,,,0.552,0.0
1,1,2,4,24,4,2,0,,,0.431,0.0
1,1,2,4,25,1,5,0,,,0.5833,0.0
1,1,2,4,26,6,6,1,,,0.2652,0.0
1,1,2,4,27,4,5,0,,,0.5399,0.0
1,1,2,4,28,3,5,0,,,0.256,0.0
1,1,2,4,29,4,2,0,,,0.6071,0.0
1,1,2,4,30,4,4,1,,,0.8323,0.0
1,1,2,4,31,6,6,1,,,0.1723,0.0
1,1,2,4,32,6,5,0,,,0.3235,0.0
1,1,2,4,33,1,1,1,,,0.5926,0.0
1,1,2,4,34,6,6,1,,,0.1508,0.0
1,1,2,4,35,2,5,0,,,0.2709,0.0
1,1,2,4,36,6,6,1,,,0.2377,0.0
1,1,2,4,37,5,6,0,4,0,0.1941,2.3974
1,1,2,4,38,2,6,0,2,1,0.2925,0.5236
1,1,2,4,39,5,6,0,,,0.1811,0.0
1,1,2,4,40,2,1,0,4,0,0.727,0.7643
1,1,2,4,41,4,5,0,,,0.7591,0.0
1,1,2,4,42,6,6,1,,,0.5611,0.0
1,1,2,4,43,6,6,1,,,1.0644,0.0
1,1,2,4,44,3,3,1,,,1.0984,0.0
1,1,2,4,45,2,2,1,,,0.6362,0.0
1,1,2,4,46,5,3,0,,,0.5921,0.0
1,1,2,4,47,4,6,0,,,0.2734,0.0
1,1,2,4,48,6,3,0,4,0,0.5605,0.6845
1,1,2,4,49,1,6,0,,,0.3305,0.0
1,1,2,4,50,1,5,0,,,0.2142,0.0
1,1,3,1,1,3,3,1,,,0.83,0.0
1,1,3,1,2,6,6,1,,,0.2662,0.0
1,1,3,1,3,1,1,1,,,0.3973,0.0
1,1,3,1,4,6,6,1,,,0.1233,0.0
1,1,3,1,5,1,6,0,,,0.0366,0.0
1,1,3,1,6,4,6,0,,,0.3006,0.0
1,1,3,1,7,5,6,0,,,0.1382,0.0
1,1,3,1,8,5,2,0,,,0.4148,0.0
1,1,3,1,9,3,6,0,,,0.2468,0.0
1,1,3,1,10,5,5,1,,,0.4705,0.0
1,1,3,1,11,5,5,1,,,0.2255,0.0
1,1,3,1,12,6,6,1,,,0.0002,0.0
1,1,3,1,13,4,1,0,4,1,0.597,0.5763
1,1,3,1,14,2,2,1,,,0.3741,0.0
1,1,3,1,15,2,2,1,,,0.3577,0.0
1,1,3,1,16,2,6,0,2,1,0.3412,0.7307
1,1,3,1,17,3,3,1,,,0.6987,0.0
1,1,3,1,18,5,6,0,,,0.1241,0.0
1,1,3,1,19,3,2,0,5,0,0.6081,0.2986
1,1,3,1,20,6,2,0,,,0.4402,0.0
1,1,3,1,21,6,5,0,6,1,0.4635,0.2566
1,1,3,1,22,1,6,0,1,1,0.3079,0.8109
1,1,3,1,23,5,5,1,,,0.4078,0.0
1,1,3,1,24,2,2,1,,,0.3258,0.0
